customer_id,true_segment,true_beta,signup_date,industry,region,contract_type,tenure_days_at_cutoff,n_quotes_12m,n_accepted_12m,avg_price_ratio_12m,revenue_12m,express_share_12m,acceptance_rate_12m,price_ratio_trend,churned
1,SMB,8.548,2023-09-14,Pharma,West,Spot,706,3.0,3.0,1.0249,233.35000000000002,0.0,1.0,0.10299999999999987,0
2,SMB,7.251,2023-03-04,Industrial,West,Spot,900,5.0,5.0,0.9871800000000001,947.0899999999999,0.2,1.0,,0
3,Occasional,10.284,2023-05-12,Apparel,Northeast,Spot,831,2.0,2.0,0.96345,104.83000000000001,0.0,1.0,,0
4,SMB,10.525,2021-05-21,Retail,Southeast,Spot,1552,5.0,2.0,1.07238,396.57,0.2,0.4,,0
5,Mid-Market,4.554,2024-12-04,Apparel,Midwest,Spot,259,7.0,7.0,0.9541000000000001,917.65,0.2857142857142857,1.0,,0
6,Occasional,10.977,2019-06-17,Retail,Southeast,Spot,2256,4.0,4.0,0.876125,794.88,0.25,1.0,,1
7,SMB,5.169,2019-09-19,Automotive,Northeast,Spot,2162,5.0,4.0,0.9129200000000001,1010.0799999999999,0.4,0.8,,0
8,SMB,5.773,2024-09-15,Electronics,Northeast,Spot,339,4.0,4.0,1.018525,928.9300000000001,0.75,1.0,,0
9,Mid-Market,5.092,2019-06-16,Manufacturing,Northeast,Spot,2257,10.0,10.0,1.05145,1409.8400000000001,0.4,1.0,0.13234999999999975,0
10,SMB,7.103,2020-04-12,Electronics,Northeast,Spot,1956,7.0,6.0,1.0415571428571428,1937.5900000000001,0.42857142857142855,0.8571428571428571,,0
11,Mid-Market,5.099,2020-02-26,Apparel,Southeast,Spot,2002,11.0,10.0,0.9876090909090909,3499.2500000000005,0.2727272727272727,0.9090909090909091,0.03490000000000015,0
12,Occasional,6.171,2019-03-22,Automotive,West,Spot,2343,2.0,2.0,0.93415,362.68,0.5,1.0,,1
13,SMB,7.077,2019-10-12,Pharma,Midwest,Contract,2139,2.0,2.0,0.9325,404.77,0.5,1.0,0.0025999999999999357,0
14,SMB,8.94,2022-10-26,Manufacturing,Southeast,Spot,1029,5.0,5.0,0.9647400000000002,1617.5800000000002,0.0,1.0,0.11119999999999997,0
15,SMB,5.798,2023-05-30,Industrial,West,Spot,813,5.0,5.0,0.95526,552.71,0.4,1.0,-0.055400000000000116,0
16,Mid-Market,5.209,2019-07-22,Automotive,Midwest,Contract,2221,7.0,7.0,1.0217571428571428,1961.61,0.14285714285714285,1.0,-0.12770000000000015,0
17,SMB,7.686,2025-04-13,Food & Beverage,Northeast,Spot,129,1.0,1.0,1.0653,235.34,0.0,1.0,,0
18,Enterprise,3.128,2019-08-22,Pharma,Northeast,Contract,2190,16.0,14.0,1.0089625,2205.16,0.25,0.875,0.09365333333333348,0
