customer_id,true_segment,cluster,cluster_name,dominant_tier_of_cluster,recency_days,frequency,monetary,acceptance_rate,avg_price_ratio
1,SMB,3,Steady Mid-Value,SMB,7,15,1930.82,1.0,0.9914733333333333
2,SMB,3,Steady Mid-Value,SMB,70,19,3005.99,0.9473684210526315,0.9832736842105264
3,Occasional,0,Low-Engagement / Occasional,Occasional,34,8,1009.22,1.0,0.9739875
4,SMB,3,Steady Mid-Value,SMB,14,27,4264.56,0.8518518518518519,1.014751851851852
5,Mid-Market,1,High-Value Core,Mid-Market,44,19,2197.2,0.9473684210526315,0.9870315789473684
6,Occasional,0,Low-Engagement / Occasional,Occasional,80,18,2739.39,0.9444444444444444,0.9226333333333332
7,SMB,3,Steady Mid-Value,SMB,43,36,6816.1,0.8888888888888888,0.9558027777777779
8,SMB,3,Steady Mid-Value,SMB,131,8,1641.52,1.0,0.9813875
9,Mid-Market,1,High-Value Core,Mid-Market,43,71,13199.369999999999,0.8873239436619719,1.0080014084507043
10,SMB,3,Steady Mid-Value,SMB,52,26,5822.27,0.8846153846153846,0.9866884615384616
11,Mid-Market,1,High-Value Core,Mid-Market,19,63,13625.08,0.9206349206349206,0.9932190476190477
12,Occasional,0,Low-Engagement / Occasional,Occasional,83,12,3176.82,1.0,0.9412333333333334
13,SMB,2,Price-Sensitive / At-Risk,Occasional,68,27,3372.6,0.8148148148148148,0.9724962962962963
14,SMB,3,Steady Mid-Value,SMB,72,19,4455.06,1.0,0.9598052631578947
15,SMB,3,Steady Mid-Value,SMB,49,21,2609.5,0.9047619047619048,0.9664904761904761
16,Mid-Market,3,Steady Mid-Value,SMB,30,62,11729.2,0.967741935483871,0.9698467741935484
17,SMB,3,Steady Mid-Value,SMB,8,6,873.55,1.0,0.9918833333333333
18,Enterprise,1,High-Value Core,Mid-Market,27,104,20608.66,0.9134615384615384,1.0277509615384615
19,SMB,1,High-Value Core,Mid-Market,4,14,3537.33,1.0,0.9916714285714285
20,SMB,3,Steady Mid-Value,SMB,103,19,3064.08,0.8947368421052632,0.9810368421052632
21,SMB,3,Steady Mid-Value,SMB,310,20,2982.65,0.9,0.9856400000000001
22,Mid-Market,1,High-Value Core,Mid-Market,16,61,9431.78,0.9180327868852459,0.9591213114754098
23,Occasional,0,Low-Engagement / Occasional,Occasional,245,22,2711.11,0.8636363636363636,0.955559090909091
24,Occasional,0,Low-Engagement / Occasional,Occasional,166,9,1912.65,0.8888888888888888,0.9846666666666667
25,SMB,3,Steady Mid-Value,SMB,14,9,2453.71,1.0,0.9784555555555556
26,Mid-Market,1,High-Value Core,Mid-Market,5,46,8140.2300000000005,0.9347826086956522,0.9787152173913043
27,SMB,3,Steady Mid-Value,SMB,64,40,5298.51,0.875,0.9670225
28,Enterprise,1,High-Value Core,Mid-Market,3,48,9218.38,0.9583333333333334,1.0594666666666666
29,Mid-Market,1,High-Value Core,Mid-Market,55,34,7383.96,0.9117647058823529,0.9929617647058824
30,SMB,3,Steady Mid-Value,SMB,34,43,5559.65,0.9069767441860465,0.9787372093023257
31,SMB,3,Steady Mid-Value,SMB,54,45,7076.78,0.8888888888888888,0.9807577777777777
32,Occasional,0,Low-Engagement / Occasional,Occasional,779,10,2421.01,0.9,0.94066
33,Mid-Market,1,High-Value Core,Mid-Market,125,81,14725.81,0.9876543209876543,0.9860567901234567
34,Mid-Market,1,High-Value Core,Mid-Market,53,35,5018.38,1.0,0.9841628571428572
