customer_id,true_segment,true_beta,signup_date,industry,region,contract_type
1,SMB,8.548,2023-09-14,Pharma,West,Spot
2,SMB,7.251,2023-03-04,Industrial,West,Spot
3,Occasional,10.284,2023-05-12,Apparel,Northeast,Spot
4,SMB,10.525,2021-05-21,Retail,Southeast,Spot
5,Mid-Market,4.554,2024-12-04,Apparel,Midwest,Spot
6,Occasional,10.977,2019-06-17,Retail,Southeast,Spot
7,SMB,5.169,2019-09-19,Automotive,Northeast,Spot
8,SMB,5.773,2024-09-15,Electronics,Northeast,Spot
9,Mid-Market,5.092,2019-06-16,Manufacturing,Northeast,Spot
10,SMB,7.103,2020-04-12,Electronics,Northeast,Spot
11,Mid-Market,5.099,2020-02-26,Apparel,Southeast,Spot
12,Occasional,6.171,2019-03-22,Automotive,West,Spot
13,SMB,7.077,2019-10-12,Pharma,Midwest,Contract
14,SMB,8.94,2022-10-26,Manufacturing,Southeast,Spot
15,SMB,5.798,2023-05-30,Industrial,West,Spot
16,Mid-Market,5.209,2019-07-22,Automotive,Midwest,Contract
17,SMB,7.686,2025-04-13,Food & Beverage,Northeast,Spot
18,Enterprise,3.128,2019-08-22,Pharma,Northeast,Contract
19,SMB,7.995,2023-07-31,Industrial,Northeast,Spot
20,SMB,7.446,2024-05-02,Food & Beverage,Midwest,Spot
21,SMB,5.447,2022-06-22,Retail,Midwest,Spot
22,Mid-Market,4.02,2022-04-12,Manufacturing,Southeast,Contract
23,Occasional,9.78,2019-09-23,Pharma,Midwest,Spot
24,Occasional,10.334,2020-08-11,Industrial,International,Spot
25,SMB,8.289,2024-09-02,Apparel,Southeast,Contract
26,Mid-Market,4.906,2021-04-28,Pharma,Midwest,Contract
27,SMB,8.075,2019-03-25,Electronics,Midwest,Spot
28,Enterprise,2.222,2023-11-11,Food & Beverage,West,Contract
29,Mid-Market,3.812,2023-07-23,Retail,West,Spot
30,SMB,7.32,2019-06-11,Electronics,West,Spot
31,SMB,6.845,2019-05-05,Pharma,Northeast,Spot
32,Occasional,8.386,2019-10-11,Industrial,Southeast,Spot
33,Mid-Market,4.042,2019-05-04,Industrial,West,Contract
34,Mid-Market,3.774,2023-02-09,Automotive,Southeast,Contract
35,SMB,6.871,2019-11-19,Retail,International,Spot
36,Mid-Market,3.53,2023-01-17,Automotive,Southeast,Contract
37,Mid-Market,5.558,2020-03-04,Manufacturing,Midwest,Spot
38,SMB,6.506,2025-06-25,Pharma,Midwest,Contract
39,Mid-Market,5.22,2023-11-03,Industrial,Southeast,Spot
40,SMB,7.369,2021-07-01,Industrial,West,Spot
41,SMB,6.637,2021-11-09,Apparel,Northeast,Spot
42,Occasional,6.863,2019-06-08,Electronics,Midwest,Spot
43,SMB,5.582,2019-05-14,Pharma,Midwest,Contract
