segment,month,forecast,revenue,naive_forecast,trend_forecast,blended_forecast
Enterprise,2026-02-01,65495.536248229735,54638.3,52161.64,69368.13186047919,69368.13186047919
Enterprise,2026-03-01,65633.47010258392,53959.21,48338.66,70179.06930278553,70179.06930278553
Enterprise,2026-04-01,72502.32752123353,56480.99,51797.64,71136.93249085323,71136.93249085323
Enterprise,2026-05-01,74205.0732374879,57157.38,56985.36,72246.9286740048,72246.9286740048
Enterprise,2026-06-01,76863.07400162722,55474.69,50208.08,73473.50118838783,73473.50118838783
Enterprise,2026-07-01,77615.389977504,74725.56,58312.59,74749.8568363399,74749.8568363399
Mid-Market,2026-02-01,163477.06322817606,145311.33,125832.93,146117.52650333635,163477.06322817606
Mid-Market,2026-03-01,164338.8552582089,166998.12,168921.64,146928.4639456427,164338.8552582089
Mid-Market,2026-04-01,162857.03495329202,154086.73,156393.85,147886.32713371038,162857.03495329202
Mid-Market,2026-05-01,162694.44129793948,159871.3,151004.85,148996.32331686193,162694.44129793948
Mid-Market,2026-06-01,161691.7471649027,158014.72,145024.33,150222.895831245,161691.7471649027
Mid-Market,2026-07-01,163315.57460415666,176527.6,167432.17,151499.25147919706,163315.57460415666
Occasional,2026-02-01,16310.03953556261,12901.95,13598.54,38118.938824764846,16310.03953556261
Occasional,2026-03-01,17554.356120027787,12376.1,13496.21,38929.87626707118,17554.356120027787
Occasional,2026-04-01,16413.23074557634,13086.7,12353.19,39887.739455138886,16413.23074557634
Occasional,2026-05-01,19179.65618774689,14226.97,16768.5,40997.73563829045,19179.65618774689
Occasional,2026-06-01,17764.384473527363,15827.09,15355.97,42224.30815267348,17764.384473527363
Occasional,2026-07-01,17834.572412601854,13779.48,14718.25,43500.66380062555,17834.572412601854
SMB,2026-02-01,89026.69675091602,72525.74,82086.49,89693.9006104792,89693.9006104792
SMB,2026-03-01,98710.96705319946,93719.99,78911.2,90504.83805278553,90504.83805278553
SMB,2026-04-01,98170.00353690788,84175.68,77154.6,91462.70124085323,91462.70124085323
SMB,2026-05-01,97132.18200127636,91856.69,80220.04,92572.6974240048,92572.6974240048
SMB,2026-06-01,103177.87883618743,92639.39,73094.87,93799.26993838784,93799.26993838784
SMB,2026-07-01,112973.56356958032,88105.06,87832.46,95075.62558633991,95075.62558633991
