segment,month,forecast,trend_forecast,blended_forecast
Enterprise,2026-08-01,60262.012287730824,73122.43261801508,73122.43261801508
Enterprise,2026-09-01,61741.3271536364,74525.64878165543,74525.64878165543
Enterprise,2026-10-01,69763.0811348984,75574.70054839508,75574.70054839508
Mid-Market,2026-08-01,165115.24720212774,152256.94503736997,165115.24720212774
Mid-Market,2026-09-01,165115.24720212774,153660.1612010103,165115.24720212774
Mid-Market,2026-10-01,165327.03795301326,154709.21296774995,165327.03795301326
Occasional,2026-08-01,14573.434237322246,40538.68019866025,14573.434237322246
Occasional,2026-09-01,16623.100446037548,41941.8963623006,16623.100446037548
Occasional,2026-10-01,16511.862785964848,42990.94812904025,16511.862785964848
SMB,2026-08-01,92756.89764274242,94232.58535995058,94232.58535995058
SMB,2026-09-01,97491.44541967323,95635.80152359093,95635.80152359093
SMB,2026-10-01,100516.88368501284,96684.85329033056,96684.85329033056
