month,segment,revenue,shipments
2021-06-01,Enterprise,18922.920000000002,104
2021-07-01,Enterprise,26641.35,118
2021-08-01,Enterprise,19564.88,102
2021-09-01,Enterprise,14123.41,88
2021-10-01,Enterprise,31105.04,138
2021-11-01,Enterprise,29199.86,128
2021-12-01,Enterprise,25189.87,117
2022-01-01,Enterprise,24617.52,132
2022-02-01,Enterprise,24783.32,126
2022-03-01,Enterprise,31591.829999999998,133
2022-04-01,Enterprise,25381.96,127
2022-05-01,Enterprise,31307.31,148
2022-06-01,Enterprise,30882.25,155
2022-07-01,Enterprise,40283.32,180
2022-08-01,Enterprise,36227.74,147
2022-09-01,Enterprise,31882.0,171
2022-10-01,Enterprise,37459.34,161
2022-11-01,Enterprise,37028.95,166
2022-12-01,Enterprise,38984.340000000004,173
2023-01-01,Enterprise,37766.61,190
2023-02-01,Enterprise,39336.9,174
2023-03-01,Enterprise,33448.4,174
2023-04-01,Enterprise,38791.37,185
2023-05-01,Enterprise,38670.46,170
2023-06-01,Enterprise,44963.159999999996,197
2023-07-01,Enterprise,38293.18,191
2023-08-01,Enterprise,38686.84,201
2023-09-01,Enterprise,35703.52,191
2023-10-01,Enterprise,40506.17,201
2023-11-01,Enterprise,37962.17,179
2023-12-01,Enterprise,49856.94,208
2024-01-01,Enterprise,41016.51,204
2024-02-01,Enterprise,40792.45,196
2024-03-01,Enterprise,52470.63,224
2024-04-01,Enterprise,46808.32,243
2024-05-01,Enterprise,49525.17,216
2024-06-01,Enterprise,43339.14,224
2024-07-01,Enterprise,49162.93,239
2024-08-01,Enterprise,44056.42,217
2024-09-01,Enterprise,57331.76,267
2024-10-01,Enterprise,52283.01,251
2024-11-01,Enterprise,62175.94,243
2024-12-01,Enterprise,52438.72,253
2025-01-01,Enterprise,50130.7,256
2025-02-01,Enterprise,52161.64,246
2025-03-01,Enterprise,48338.66,236
2025-04-01,Enterprise,51797.64,250
2025-05-01,Enterprise,56985.36,281
2025-06-01,Enterprise,50208.08,265
2025-07-01,Enterprise,58312.59,291
2025-08-01,Enterprise,57040.68,270
2025-09-01,Enterprise,53927.909999999996,279
2025-10-01,Enterprise,58312.69,290
2025-11-01,Enterprise,61620.97,275
2025-12-01,Enterprise,60560.31,285
2026-01-01,Enterprise,68212.1,298
2026-02-01,Enterprise,54638.3,259
2026-03-01,Enterprise,53959.21,278
